keywords,category
apple,happy
bag,classical
balloon,pop
bed,sleep
bee,edm
beer,pop
bicycle,work-out
bird,chill
boat,summer
book,ambient
boy,dance
bridge,jazz
bug,hip-hop
building,pop
bus,dance
butterfly,acoustic
cafe,acoustic
can,country
car,rock
castle,disney
cat,new-age
chicken,party
cigarette,heavy-metal
clock,study
cloud,summer
coffee,r-n-b
computer,jazz
cup,chill
dog,pop
door,indie
drama,movies
eyes,k-pop
fireplace,chill
forest,sleep
girl,happy
grass,reggae
guitar,guitar
gym,work-out
hospital,classical
house,chill
ice cream,summer
keyboard,jazz
lamp,chill
lipstick,party
mask,sad
mirror,party
money,hip-hop
moon,alternative
motorcycle,rock
mountain,country
movie,movies
ocean,pop
orange,holidays
phone,pop
piano,piano
rabbit,happy
rain,rainy-day
rainbow,happy
restroom,classical
road,road-trip
room,indie
rose,romance
sand,summer
sandwich,holidays
sea,pop
shadow,alternative
shirts,indie
skirt,disco
skyscraper,pop
snake,hip-hop
snow,alternative
sofa,chilll
sport,work-out
stadium,party
stair,chill
stage,edm
subway,alternative
sun,disney
sunflower,summer
sunglasses,summer
sunset,soul
surfing,summer
swimming pool,summer
table,holidays
television,pop-film
tent,chill
theater,movies
toilet,classical
toothpaste,classical
tractor,country
train,road-trip
tree,holidays
tulip,romance
umbrella,rainy-day
vegetable,country
watermelon,summer
whale,ambient
window,study
wine,jazz